Id,Label,timeset,username,category,post_activity,fan_count,talking_about_count,users_can_post,link
158190387560587,Claudia López,,ClaudiaLopezCL,Public Figure,0.58,553278,68339,yes,https://www.facebook.com/ClaudiaLopezCL/
214920142051670,Alonso Salazar,,AlonsoSalazarJ,Public Figure,0,30408,12,yes,https://www.facebook.com/AlonsoSalazarJ/
155088471199849,Senado Colombia,,senadogovco,Government Organization,0.09,39062,235,no,https://www.facebook.com/senadogovco/
1524779097779678,Curso  Tendencias en Innovación Política,,,School,0,1210,3,yes,https://www.facebook.com/Curso-Tendencias-en-Innovación-Política-1524779097779678/
225695683920,Iván Cepeda Castro,,IvanCepedaCamara,Politician,0.14,154848,8322,yes,https://www.facebook.com/IvanCepedaCamara/
126450910743068,El Colombiano,,ElColombiano,Media/News Company,1.77,1000602,80482,yes,https://www.facebook.com/ElColombiano/
62260589592,Revista Dinero,,RevistaDineroCol,Magazine,0.54,652846,23365,no,https://www.facebook.com/RevistaDineroCol/
97041406678,Revista Semana,,RevistaSemana,Magazine,0.8,1914801,158617,no,https://www.facebook.com/RevistaSemana/
14302129065,El Espectador,,elespectadorcom,Newspaper,2.87,3013485,470939,yes,https://www.facebook.com/elespectadorcom/
148349507804,El Tiempo,,eltiempo,Newspaper,0.99,3044293,353334,no,https://www.facebook.com/eltiempo/
274992429193756,Bicimapa,,bicimapa,Website,0,5134,19,yes,https://www.facebook.com/bicimapa/
275454095938554,Jovenes Santander Con Peñalosa Presidente#Podemos,,javieramador103,Politician,0,782,2,yes,https://www.facebook.com/javieramador103/
324978082784,John Sudarsky,,johnsudarsky,Politician,0.08,13045,665,no,https://www.facebook.com/johnsudarsky/
110955563771,Camilo Romero,,paginacamiloromero,Interest,0.03,50952,1138,yes,https://www.facebook.com/paginacamiloromero/
970102866336353,Ptc Alianza Verde,,PtcVerde,Political Party,0.11,6240,103,yes,https://www.facebook.com/PtcVerde/
