Source,Target
IDG Capital,Tencent
Prosus & Naspers,Tencent
Lippo Group,Tencent
PCCW,Tencent
Andreessen Horowitz,Twitter
Morgan Stanley,Twitter
Spark Capital,Twitter
Union Square Ventures,Twitter
Insight Partners,Twitter
Tencent,Ubisoft
JP Morgan Chase,Ubisoft
Ontario Teachers' Pension Plan,Ubisoft
Electronic Arts,Ubisoft
SoftBank,WeWork
JP Morgan Chase,WeWork
Goldman Sachs,WeWork
Insight Partners,WeWork
Cushman & Wakefield,WeWork
Ascension,Wagestream
BlackRock,Wagestream
QED Investors,Wagestream
Northzone,Wagestream
Y Combinator,Xendit
Tiger Global Management,Xendit
Accel,Xendit
East Ventures,Xendit
Goat Capital,Xendit
RRE Ventures,Techstars
Foundry Group,Techstars
Mercury,Techstars
IA Ventures,Techstars
Meyer Global Management,StartEngine
BAM Ventures,StartEngine
American Rescue Plan,Verizon
NYSERDA,Verizon
ATN International,Verizon
Galaxy Digital,Terra
Hashed,Terra
Polychain,Terra
Binance,Terra
Coinbase Ventures,Terra
Digital Currency Group,Wyre
Blockchain Capital,Wyre
Stellar Development Foundation,Wyre
Draper Associates,Wyre
Kraken,Wyre
Apple,Zomato
Sequoia Capital,Zomato
Info Edge,Zomato
Tiger Global Management,Zomato
Google,SpaceX
Baillie Gifford,SpaceX
Craft Ventures,SpaceX
Y Combinator,Twitch
Draper Associates,Twitch
Bessemer Venture Partners,Twitch
SV Angel,Twitch
Elliott Management,SAP
EASME - EU Executive Agency for SMEs,SAP
Y Combinator,Wefunder
Maverick Ventures,Wefunder
Plug and Play Tech Center,Wefunder
Tencent,Swiggy
SoftBank,Swiggy
Meituan,Swiggy
Invesco,Swiggy
Goldman Sachs,Swiggy
Techstars,Tive
Fifth Wall,Tive
RRE Ventures,Tive
Qualcomm Ventures,Tive
AXA Venture Partners,Tive
Sequoia Capital,Stanza Living
Matrix Partners,Stanza Living
RBL Bank,Stanza Living
Accel,Stanza Living
Sequoia Capital India,Stanza Living
Techstars,Twilio
500 Startups,Twilio
Union Square Ventures,Twilio
Redpoint,Twilio
Zomato,UrbanPiper
Swiggy,UrbanPiper
Tiger Global Management,UrbanPiper
Sequoia Capital India,UrbanPiper
Axilor Ventures,UrbanPiper
Tencent,Tesla
Citi,Tesla
Google,Tesla
Morgan Stanley,Tesla
Goldman Sachs,Tesla
Sequoia Capital,Zilingo
Draper Associates,Zilingo
Susquehanna International Group (SIG),Zilingo
Temasek Holdings,Zilingo
Wavemaker Partners,Zilingo
Tencent,Xiaohongshu
Alibaba Group,Xiaohongshu
GSR Ventures,Xiaohongshu
Temasek Holdings,Xiaohongshu
GGV Capital,Xiaohongshu
New Enterprise Associates,Uniphore
Sorenson Capital,Uniphore
IIFL Finance,Uniphore
Chiratae Ventures,Uniphore
Redpoint,Sonos
Index Ventures,Sonos
Kohlberg Kravis Roberts,Sonos
EquityZen,Sonos
Evotec,Sanofi
Insight Partners,Thunes
Checkout.com,Thunes
GGV Capital,Thunes
Future Shape,Thunes
Helios Investment Partners,Thunes
Intact Financial Corporation,Turo
GV,Turo
Daimler,Turo
Shasta Ventures,Turo
Goodwater Capital,Treinta
Y Combinator,Treinta
PayU,Treinta
Outbound Ventures,Treinta
Commerce Ventures,Treinta
SoftBank Vision Fund,Zume
SignalFire,Zume
FJ Labs,Zume
AME Cloud Ventures,Zume
Maveron,Zume
Gaingels,Yieldstreet
FJ Labs,Yieldstreet
Sequoia Capital,Yokoy
Balderton Capital,Yokoy
Speedinvest,Yokoy
Swisscom Ventures,Yokoy
Andreessen Horowitz,Solana
BlockTower Capital,Solana
500 Startups,Solana
Polychain,Solana
Slow Ventures,Solana
Insight Partners,Shopify
OMERS Ventures,Shopify
FirstMark,Shopify
Bessemer Venture Partners,Shopify
Felicis Ventures,Shopify
SoftBank Vision Fund,Whatfix
F-Prime Capital,Whatfix
Sequoia Capital India,Whatfix
Stellaris Venture Partners,Whatfix
Brand Foundry Ventures,Trace
Intel Capital,Trace
Toba Capital,Trace
