Id,Last Funding Types
Tencent,Post-IPO Debt
Warburg Pincus,Venture - Series Unknown
Twitter,Post-IPO Equity
Ubisoft,Post-IPO Secondary
WeWork,Post-IPO Equity
Wagestream,Debt Financing
Xendit,Series C
Techstars,Venture - Series Unknown
StartEngine,Equity Crowdfunding
Verizon,Grant
Terra,Venture - Series Unknown
Wyre,Venture - Series Unknown
Zomato,Venture - Series Unknown
SpaceX,Grant
Twitch,Series C
SAP,Post-IPO Equity
Wefunder,Seed
Swiggy,Undisclosed
Tive,Series B
Stanza Living,Debt Financing
Twilio,Post-IPO Equity
UrbanPiper,Series B
Tesla,Post-IPO Debt
Zilingo,Venture - Series Unknown
Xiaohongshu,Series E
Uniphore,Series E
Sonos,Secondary Market
Sanofi,Post-IPO Equity
Thunes,Series B
Turo,Venture - Series Unknown
Treinta,Series A
Zume,Private Equity
Yieldstreet,Series C
Yokoy,Series B
Solana,Initial Coin Offering
Samsung Electronics,Seed
Shopify,Series C
Whatfix,Series D
Trace,Series C
Yandex,Post-IPO Equity
Vytalize Health,Series B
Sophos,Post-IPO Equity
Squire,Series D
Satellogic,Post-IPO Equity
The Honest Company,Private Equity
SiFive,Series F
Shift,Post-IPO Debt
Zeta,Venture - Series Unknown
Sayurbox,Series C
Venture Catalysts,Seed
SoftBank,Post-IPO Debt
Silver Lake,Private Equity
Vontive,Debt Financing
Zoom,Post-IPO Equity
Substack,Series B
UpGrad,Venture - Series Unknown
The EVERY Company,Series C
Stripe,Secondary Market
SparkCognition,Series D
Zebra Technologies,Post-IPO Debt
Zendesk,Grant
Startup Wise Guys,Undisclosed
Wonderschool,Series B
Uber,Post-IPO Debt
Wayflyer,Series B
Stockal,Series A
Sequoia Capital,
Securitize,Series B
Somatus,Series E
Trell,Series B
WinZO,Series C
Stax,Series D
SamCart,Series B
Voyager,Post-IPO Equity
Snapdeal,Venture - Series Unknown
Silverfort,Series C
Trinity Capital,Post-IPO Equity
Sendoso,Series C
waresix,Series B
Tomo,Series A
Welcome Tech,Venture - Series Unknown
Sorare,Series B
Traveloka,Venture - Series Unknown
TrueLayer,Series E
Triple Whale,Series A
Worldcoin,Undisclosed
Shippo,Venture - Series Unknown
Umba,Series A
SpotOn,Series E
Spring Health,Venture - Series Unknown
Tinder,Undisclosed
Zilch,Series C
WonderFi,Post-IPO Debt
WorkRamp,Series C
Tractable,Series D
ServiceTitan,Series G
Yuga Labs,Seed
Voyager Innovations,Convertible Note
TransUnion,Post-IPO Debt
Socure,Series E
Viz,Series D
Typeform,Series C
Socotra,Series C
Spring,Venture - Series Unknown
ZestMoney,Series C
Subject,Series A
Wasoko,Series B
Twingate,Series B
Sierra Oncology,Post-IPO Equity
Season Health,Series A
ThoughtSpot,Series F
Spinny,Undisclosed
ShearShare,Seed
Tarana Wireless,Venture - Series Unknown
SESO,Series A
Sary,Series C
Sweetgreen,Series I
Tinybird,Series A
StarkWare Industries,Series C
SkyHive,Venture - Series Unknown
Sweep,Series B
Wealthfront,Series E
Xpressbees,Series F
Upgrade,Series F
SecurityScorecard,Series E
Veriff,Series C
The Wild,Venture - Series Unknown
Tanium,Secondary Market
Vedantu,Series E
Thumbtack,Series I
Staffbase,Series E
Slingshot Aerospace,Grant
Vestiaire Collective,Series I
TemperPack,Venture - Series Unknown
SWVL Technologies,Venture - Series Unknown
Studio,Series B
Yield Guild Games Southeast Asia,Seed
Sure,Series C
SmartHop,Series B
Watershed,Series B
